ncName,ncType,Score
hsa-miR-146b-3p,miRNA,0.328976
hsa-miR-3943,miRNA,0.328976
hsa-miR-98-3p,miRNA,0.328976
hsa-miR-130,miRNA,0.328976
hsa-miR-146a-5p,miRNA,0.328976
LINC01930,lncRNA,0.328976
hsa-miR-365,miRNA,0.328976
hsa-miR-346,miRNA,0.328976
hsa-miR-24-1-5p,miRNA,0.328976
RAB18,mRNA,0.328976
hsa-miR-7-1-3p,miRNA,0.328976
hsa-miR-126-3p,miRNA,0.328976
TGFBR2,mRNA,0.328976
hsa-miR-20b-3p,miRNA,0.328976
hsa-miR-2682-3p,miRNA,0.328976
hsa-miR-1185-1-3p,miRNA,0.328976
hsa-miR-103b-2,miRNA,0.328976
hsa-miR-219,miRNA,0.328976
hsa-miR-338-3p,miRNA,0.328976
hsa-miR-22-3p,miRNA,0.328976
TMED10,mRNA,0.328976
hsa-miR-30d-3p,miRNA,0.328976
hsa-miR-144-3p,miRNA,0.328976
BID,mRNA,0.328976
hsa-miR-423-5p,miRNA,0.328976
hsa-miR-103a-2-5p,miRNA,0.328976
hsa-miR-181b-3p,miRNA,0.328976
hsa-miR-103b-1,miRNA,0.328976
PNKY,lncRNA,0.328976
hsa-miR-219-2,miRNA,0.328976
hsa-miR-337-3p,miRNA,0.328976
ANAPC10,mRNA,0.328976
hsa-miR-29b-2-5p,miRNA,0.328976
hsa-miR-138-5p,miRNA,0.328976
RAB4A,mRNA,0.328976
hsa-miR-335-3p,miRNA,0.328976
hsa-miR-1827,miRNA,0.328976
hsa-miR-499b-5p,miRNA,0.328976
hsa-miR-103-1,miRNA,0.328976
DISC1FP1,lncRNA,0.328976
BDNF-AS,lncRNA,0.328976
CDKN1B,mRNA,0.328976
hsa-miR-29b-1-5p,miRNA,0.328976
hsa-miR-15b-5p,miRNA,0.328976
AHI1,mRNA,0.328976
hsa-miR-106b-3p,miRNA,0.328976
hsa-miR-208b-3p,miRNA,0.328976
hsa-miR-4723-3p,miRNA,0.328976
hsa-let-7,miRNA,0.328976
AHI1-DT,lncRNA,0.328976
hsa-miR-219-1,miRNA,0.328976
hsa-miR-130b-3p,miRNA,0.328976
MIR137HG,lncRNA,0.328976
CDKN1A,mRNA,0.328976
hsa-miR-92a-1-5p,miRNA,0.328976
hsa-miR-212-3p,miRNA,0.328976
PML,mRNA,0.328976
hsa-miR-127-5p,miRNA,0.328976
HDAC4,mRNA,0.328976
hsa-miR-33b-3p,miRNA,0.328976
hsa-miR-4640-3p,miRNA,0.328976
hsa-miR-103a-1-5p,miRNA,0.328976
hsa-miR-19,miRNA,0.328976
hsa-miR-296-5p,miRNA,0.328976
NEAT1,lncRNA,0.328976
hsa-miR-9-1,miRNA,0.328976
hsa-miR-23a-5p,miRNA,0.328976
hsa-miR-203a-3p,miRNA,0.328976
SMAD4,mRNA,0.328976
hsa-miR-122-3p,miRNA,0.328976
MTA1,mRNA,0.328976
hsa-miR-593-3p,miRNA,0.328976
hsa-miR-4449,miRNA,0.328976
hsa-miR-585-5p,miRNA,0.328976
hsa-miR-181b-1,miRNA,0.328976
AP006216.11,lncRNA,-1.0
BCYRN1,lncRNA,-1.0
CCAT2,lncRNA,-1.0
CTA-204B4.6,lncRNA,-1.0
CTB-89H12.4,lncRNA,-1.0
CTD-2256P15.1,lncRNA,-1.0
GAS5,lncRNA,-1.0
NONHSAG004866,lncRNA,-1.0
LINC00324,lncRNA,-1.0
LINC00461,lncRNA,-1.0
MALAT1,lncRNA,-1.0
MIR22HG,lncRNA,-1.0
OIP5-AS1,lncRNA,-1.0
RP11-108M9.3,lncRNA,-1.0
RP11-160E2.13,lncRNA,-1.0
RP11-160E2.6,lncRNA,-1.0
RP11-175O19.4,lncRNA,-1.0
RP11-282D2.2,lncRNA,-1.0
RP11-282D2.4,lncRNA,-1.0
RP11-296K13.1,lncRNA,-1.0
RP11-374M1.4,lncRNA,-1.0
RP11-469M7.1,lncRNA,-1.0
RP11-498C9.2,lncRNA,-1.0
RP11-519G16.2,lncRNA,-1.0
RP11-805I24.1,lncRNA,-1.0
RP1-211D12.3,lncRNA,-1.0
RP4-550H1.6,lncRNA,-1.0
RP5-1186N24.3,lncRNA,-1.0
RP6-24A23.7,lncRNA,-1.0
RPPH1,lncRNA,-1.0
SNHG1,lncRNA,-1.0
SNHG3,lncRNA,-1.0
XIST,lncRNA,-1.0
mdm2-as,lncRNA,-1.0
CDKN1A-AS1,lncRNA,-1.0
hTR,lncRNA,-1.0
hsa-mir-15a/15b/16/1,miRNA,-1.0
hsa-mir-17/20b/93/51,miRNA,-1.0
hsa-mir-19a/19b,miRNA,-1.0
hsa-mir-20a/106b,miRNA,-1.0
hsa-miR-26a-2-3p,miRNA,-1.0
PAN RNA,lncRNA,-1.0
C1orf159,lncRNA,-1.0
MIB2,lncRNA,-1.0
TP73-AS1,lncRNA,-1.0
DNAJC16,lncRNA,-1.0
MATN1-AS1,lncRNA,-1.0
EIF3I,lncRNA,-1.0
MRPL37,lncRNA,-1.0
SORT1,lncRNA,-1.0
RABGAP1L,lncRNA,-1.0
CNIH3,lncRNA,-1.0
NONHSAG004520,lncRNA,-1.0
IL15RA,lncRNA,-1.0
ZNF37BP,lncRNA,-1.0
NONHSAG005770,lncRNA,-1.0
KRTAP5-AS1,lncRNA,-1.0
COPB1,lncRNA,-1.0
GTF2H1,lncRNA,-1.0
FAU,lncRNA,-1.0
NONHSAG008671,lncRNA,-1.0
MLF2,lncRNA,-1.0
ATN1,lncRNA,-1.0
FKBP11,lncRNA,-1.0
NACA,lncRNA,-1.0
VEZT,lncRNA,-1.0
FAM216A,lncRNA,-1.0
NONHSAG012707,lncRNA,-1.0
TMEM55B,lncRNA,-1.0
DHRS4-AS1,lncRNA,-1.0
POLE2,lncRNA,-1.0
ATL1,lncRNA,-1.0
DIO3OS,lncRNA,-1.0
WDR76,lncRNA,-1.0
MAN2C1,lncRNA,-1.0
NONHSAG019119,lncRNA,-1.0
NONHSAG019905,lncRNA,-1.0
AC009120.6,lncRNA,-1.0
NONHSAG020176,lncRNA,-1.0
NLGN2,lncRNA,-1.0
NONHSAG022083,lncRNA,-1.0
DDX5,lncRNA,-1.0
RP11-353N14.5,lncRNA,-1.0
RP11-334C17.5,lncRNA,-1.0
AATK,lncRNA,-1.0
STRA13,lncRNA,-1.0
AC132872.1,lncRNA,-1.0
OGFOD3,lncRNA,-1.0
ZNF271,lncRNA,-1.0
CTD-2622I13.3,lncRNA,-1.0
PEPD,lncRNA,-1.0
PTOV1-AS1,lncRNA,-1.0
AC092594.1,lncRNA,-1.0
GPN1,lncRNA,-1.0
AC139712.2,lncRNA,-1.0
NONHSAG027982,lncRNA,-1.0
NAGK,lncRNA,-1.0
SNRNP200,lncRNA,-1.0
AC092620.2,lncRNA,-1.0
RPL37A,lncRNA,-1.0
POLR3F,lncRNA,-1.0
CDK5RAP1,lncRNA,-1.0
ADA,lncRNA,-1.0
GNAS,lncRNA,-1.0
BX322557.10,lncRNA,-1.0
C21orf58,lncRNA,-1.0
AC006547.13,lncRNA,-1.0
SFI1,lncRNA,-1.0
UBE2E1,lncRNA,-1.0
USP4,lncRNA,-1.0
GMPPB,lncRNA,-1.0
PPAP2A,lncRNA,-1.0
HNRNPH1,lncRNA,-1.0
ZFP62,lncRNA,-1.0
GNB2L1,lncRNA,-1.0
CLIC5,lncRNA,-1.0
NONHSAG044429,lncRNA,-1.0
ATP6V0E2-AS1,lncRNA,-1.0
AF131215.9,lncRNA,-1.0
PCAT2,lncRNA,-1.0
CASC7,lncRNA,-1.0
ZFAND5,lncRNA,-1.0
FAM120AOS,lncRNA,-1.0
LINC00476,lncRNA,-1.0
DDX31,lncRNA,-1.0
NONHSAG053782,lncRNA,-1.0
C9orf142,lncRNA,-1.0
NONHSAG054781,lncRNA,-1.0
PHF13,lncRNA,-1.0
NONHSAG000442,lncRNA,-1.0
NONHSAG000469,lncRNA,-1.0
NONHSAG000849,lncRNA,-1.0
SFPQ,lncRNA,-1.0
NONHSAG001038,lncRNA,-1.0
RNF220,lncRNA,-1.0
DEPDC1,lncRNA,-1.0
FUBP1,lncRNA,-1.0
AGL,lncRNA,-1.0
RP11-421L21.3,lncRNA,-1.0
DDX20,lncRNA,-1.0
TXNIP,lncRNA,-1.0
COPA,lncRNA,-1.0
SDHC,lncRNA,-1.0
MPZL1,lncRNA,-1.0
SFT2D2,lncRNA,-1.0
TBX19,lncRNA,-1.0
C1orf112,lncRNA,-1.0
GAS5-AS1,lncRNA,-1.0
NONHSAG003507,lncRNA,-1.0
NONHSAG004004,lncRNA,-1.0
NONHSAG004029,lncRNA,-1.0
CD55,lncRNA,-1.0
CNIH4,lncRNA,-1.0
ZNF678,lncRNA,-1.0
ADSS,lncRNA,-1.0
RBM17,lncRNA,-1.0
RP11-5N23.3,lncRNA,-1.0
BAMBI,lncRNA,-1.0
ARHGAP12,lncRNA,-1.0
NONHSAG005685,lncRNA,-1.0
CCNYL2,lncRNA,-1.0
RUFY2,lncRNA,-1.0
RP13-39P12.3,lncRNA,-1.0
ZNF518A,lncRNA,-1.0
CHUK,lncRNA,-1.0
CACUL1,lncRNA,-1.0
NONHSAG007009,lncRNA,-1.0
h19,lncRNA,-1.0
LINC00958,lncRNA,-1.0
SDHCP4,lncRNA,-1.0
PATL1,lncRNA,-1.0
INTS4,lncRNA,-1.0
AASDHPPT,lncRNA,-1.0
RP11-819C21.1,lncRNA,-1.0
PAFAH1B2,lncRNA,-1.0
NONHSAG010162,lncRNA,-1.0
LDHB,lncRNA,-1.0
NONHSAG010982,lncRNA,-1.0
TMBIM6,lncRNA,-1.0
AC034102.1,lncRNA,-1.0
NONHSAG011386,lncRNA,-1.0
NONHSAG011584,lncRNA,-1.0
CCT2,lncRNA,-1.0
ELK3,lncRNA,-1.0
TXNRD1,lncRNA,-1.0
NONHSAG012223,lncRNA,-1.0
AC084018.1,lncRNA,-1.0
NONHSAG012658,lncRNA,-1.0
POMP,lncRNA,-1.0
ALG5,lncRNA,-1.0
KIAA1704,lncRNA,-1.0
MIR1792,lncRNA,-1.0
FARP1,lncRNA,-1.0
TPP2,lncRNA,-1.0
DAD1,lncRNA,-1.0
NONHSAG015092,lncRNA,-1.0
ACTR10,lncRNA,-1.0
HIF1A,lncRNA,-1.0
GPHN,lncRNA,-1.0
YLPM1,lncRNA,-1.0
RP11-488C13.6,lncRNA,-1.0
NONHSAG015595,lncRNA,-1.0
NONHSAG015896,lncRNA,-1.0
RP11-265N6.1,lncRNA,-1.0
CCNDBP1,lncRNA,-1.0
PATL2,lncRNA,-1.0
ARPP19,lncRNA,-1.0
RNF111,lncRNA,-1.0
FAM219B,lncRNA,-1.0
RP11-2E17.1,lncRNA,-1.0
RP11-429B14.1,lncRNA,-1.0
RP11-461A8.1,lncRNA,-1.0
CORO7,lncRNA,-1.0
NONHSAG018882,lncRNA,-1.0
RP11-388M20.7,lncRNA,-1.0
RP11-170L3.8,lncRNA,-1.0
RSPRY1,lncRNA,-1.0
CBFB,lncRNA,-1.0
HSDL1,lncRNA,-1.0
NONHSAG020169,lncRNA,-1.0
NDEL1,lncRNA,-1.0
RP1-178F10.3,lncRNA,-1.0
MAP2K3,lncRNA,-1.0
NONHSAG021363,lncRNA,-1.0
RHOT1,lncRNA,-1.0
NONHSAG022113,lncRNA,-1.0
CLTC,lncRNA,-1.0
VMP1,lncRNA,-1.0
DCAF7,lncRNA,-1.0
AC011933.1,lncRNA,-1.0
EXOC7,lncRNA,-1.0
AC021593.1,lncRNA,-1.0
BIRC5,lncRNA,-1.0
NONHSAG023012,lncRNA,-1.0
CSNK1D,lncRNA,-1.0
PTPRM,lncRNA,-1.0
SOGA2,lncRNA,-1.0
RPRD1A,lncRNA,-1.0
RP11-49K24.8,lncRNA,-1.0
ZCCHC2,lncRNA,-1.0
NONHSAG024245,lncRNA,-1.0
CTB-50L17.7,lncRNA,-1.0
CTB-25J19.9,lncRNA,-1.0
LDLR,lncRNA,-1.0
CTB-92J24.2,lncRNA,-1.0
AD000090.2,lncRNA,-1.0
HNRNPL,lncRNA,-1.0
IRF3,lncRNA,-1.0
NONHSAG026435,lncRNA,-1.0
ZNF542,lncRNA,-1.0
AC006116.24,lncRNA,-1.0
CTC-444N24.11,lncRNA,-1.0
ID2,lncRNA,-1.0
TAF1B,lncRNA,-1.0
CENPO,lncRNA,-1.0
NONHSAG027419,lncRNA,-1.0
FBXO11,lncRNA,-1.0
AUP1,lncRNA,-1.0
POLE4,lncRNA,-1.0
NONHSAG028819,lncRNA,-1.0
SLC35F5,lncRNA,-1.0
RP5-935K16.1,lncRNA,-1.0
SPOPL,lncRNA,-1.0
NONHSAG030101,lncRNA,-1.0
PTMA,lncRNA,-1.0
EIF4E2,lncRNA,-1.0
CRLS1,lncRNA,-1.0
SNX5,lncRNA,-1.0
RBM39,lncRNA,-1.0
NONHSAG031837,lncRNA,-1.0
NONHSAG031973,lncRNA,-1.0
NONHSAG032141,lncRNA,-1.0
AF127936.5,lncRNA,-1.0
AP001628.6,lncRNA,-1.0
WDR4,lncRNA,-1.0
C22orf43,lncRNA,-1.0
NONHSAG033712,lncRNA,-1.0
NONHSAG033893,lncRNA,-1.0
CHKB-CPT1B,lncRNA,-1.0
FGD5-AS1,lncRNA,-1.0
STT3B,lncRNA,-1.0
NKTR,lncRNA,-1.0
NBEAL2,lncRNA,-1.0
RPP14,lncRNA,-1.0
NONHSAG035522,lncRNA,-1.0
ST3GAL6,lncRNA,-1.0
NONHSAG035715,lncRNA,-1.0
MBNL1,lncRNA,-1.0
CCNL1,lncRNA,-1.0
IL12A,lncRNA,-1.0
TBL1XR1,lncRNA,-1.0
NONHSAG037206,lncRNA,-1.0
TAPT1,lncRNA,-1.0
UBE2K,lncRNA,-1.0
OCIAD1,lncRNA,-1.0
TMEM165,lncRNA,-1.0
CLOCK,lncRNA,-1.0
CCNG2,lncRNA,-1.0
SEC31A,lncRNA,-1.0
HERC5,lncRNA,-1.0
UBE2D3,lncRNA,-1.0
NONHSAG039040,lncRNA,-1.0
RP11-588K22.2,lncRNA,-1.0
NONHSAG039475,lncRNA,-1.0
NONHSAG040409,lncRNA,-1.0
NONHSAG040603,lncRNA,-1.0
ANKRA2,lncRNA,-1.0
ZBED3-AS1,lncRNA,-1.0
AP3B1,lncRNA,-1.0
CCNH,lncRNA,-1.0
NONHSAG041005,lncRNA,-1.0
RP11-348J24.2,lncRNA,-1.0
ANKRD32,lncRNA,-1.0
SNX24,lncRNA,-1.0
NONHSAG041985,lncRNA,-1.0
NONHSAG042355,lncRNA,-1.0
ZNF354B,lncRNA,-1.0
MGAT4B,lncRNA,-1.0
CNOT6,lncRNA,-1.0
BLOC1S5,lncRNA,-1.0
GCNT2,lncRNA,-1.0
NONHSAG043149,lncRNA,-1.0
HCG18,lncRNA,-1.0
NONHSAG044008,lncRNA,-1.0
LYRM2,lncRNA,-1.0
PNISR,lncRNA,-1.0
CD164,lncRNA,-1.0
NONHSAG044599,lncRNA,-1.0
NCOA7,lncRNA,-1.0
NONHSAG044905,lncRNA,-1.0
RP11-361F15.2,lncRNA,-1.0
NONHSAG047225,lncRNA,-1.0
AC005013.5,lncRNA,-1.0
VPS41,lncRNA,-1.0
CCT6A,lncRNA,-1.0
NONHSAG047792,lncRNA,-1.0
BCL7B,lncRNA,-1.0
ARPC1A,lncRNA,-1.0
ZNF789,lncRNA,-1.0
DNAJB9,lncRNA,-1.0
ST7,lncRNA,-1.0
C7orf49,lncRNA,-1.0
NDUFB2,lncRNA,-1.0
NONHSAG048962,lncRNA,-1.0
CTD-2647L4.4,lncRNA,-1.0
PPP2CB,lncRNA,-1.0
NONHSAG049919,lncRNA,-1.0
NONHSAG050397,lncRNA,-1.0
NONHSAG050865,lncRNA,-1.0
NONHSAG050962,lncRNA,-1.0
SLC25A32,lncRNA,-1.0
ZHX1,lncRNA,-1.0
NONHSAG051321,lncRNA,-1.0
NONHSAG051809,lncRNA,-1.0
FOCAD,lncRNA,-1.0
NONHSAG052014,lncRNA,-1.0
NFX1,lncRNA,-1.0
LOC100506710,lncRNA,-1.0
PRUNE2,lncRNA,-1.0
VPS13A,lncRNA,-1.0
UBQLN1,lncRNA,-1.0
NONHSAG053105,lncRNA,-1.0
NONHSAG053377,lncRNA,-1.0
RP11-355O1.11,lncRNA,-1.0
NONHSAG053781,lncRNA,-1.0
CDK16,lncRNA,-1.0
NONHSAG054675,lncRNA,-1.0
TSIX,lncRNA,-1.0
XIAP,lncRNA,-1.0
LINC00894,lncRNA,-1.0
RPS4Y1,lncRNA,-1.0
TXLNG2P,lncRNA,-1.0
MRPL20,lncRNA,-1.0
UBR4,lncRNA,-1.0
NONHSAG001036,lncRNA,-1.0
NONHSAG001079,lncRNA,-1.0
GNG5,lncRNA,-1.0
TMEM167B,lncRNA,-1.0
RP4-773N10.4,lncRNA,-1.0
TPM3,lncRNA,-1.0
NONHSAG004065,lncRNA,-1.0
LINC00467,lncRNA,-1.0
PARP1,lncRNA,-1.0
RP4-803J11.2,lncRNA,-1.0
RP4-781K5.2,lncRNA,-1.0
NONHSAG004751,lncRNA,-1.0
IDI2-AS1,lncRNA,-1.0
42068,lncRNA,-1.0
STIM1,lncRNA,-1.0
SBF2,lncRNA,-1.0
PSMA1,lncRNA,-1.0
NONHSAG008077,lncRNA,-1.0
MTMR2,lncRNA,-1.0
NONHSAG009974,lncRNA,-1.0
RP11-680F20.12,lncRNA,-1.0
NONHSAG010516,lncRNA,-1.0
NONHSAG010542,lncRNA,-1.0
ADCY6,lncRNA,-1.0
MARS,lncRNA,-1.0
LEMD3,lncRNA,-1.0
TMBIM4,lncRNA,-1.0
METTL25,lncRNA,-1.0
RP11-1109F11.3,lncRNA,-1.0
ATXN8OS,lncRNA,-1.0
NONHSAG013844,lncRNA,-1.0
RP11-841O20.2,lncRNA,-1.0
NONHSAG015446,lncRNA,-1.0
NONHSAG016640,lncRNA,-1.0
BNIP2,lncRNA,-1.0
ANXA2,lncRNA,-1.0
SNX22,lncRNA,-1.0
NONHSAG017447,lncRNA,-1.0
CHTF18,lncRNA,-1.0
LA16c-366D3.1,lncRNA,-1.0
PMM2,lncRNA,-1.0
CDIPT,lncRNA,-1.0
INO80E,lncRNA,-1.0
RP11-18F14.2,lncRNA,-1.0
NONHSAG020714,lncRNA,-1.0
COX10-AS1,lncRNA,-1.0
MRPL10,lncRNA,-1.0
XYLT2,lncRNA,-1.0
NONHSAG022280,lncRNA,-1.0
MTMR4,lncRNA,-1.0
NOL11,lncRNA,-1.0
HN1,lncRNA,-1.0
H3F3B,lncRNA,-1.0
BCL2,lncRNA,-1.0
AC006273.5,lncRNA,-1.0
UPF1,lncRNA,-1.0
CTC-471F3.6,lncRNA,-1.0
DMPK,lncRNA,-1.0
RPL13A,lncRNA,-1.0
AC010525.7,lncRNA,-1.0
CTC-444N24.6,lncRNA,-1.0
AC016747.3,lncRNA,-1.0
USP34,lncRNA,-1.0
TEX261,lncRNA,-1.0
BOLA3,lncRNA,-1.0
NONHSAG028707,lncRNA,-1.0
NONHSAG029887,lncRNA,-1.0
PPP1R1C,lncRNA,-1.0
NONHSAG031725,lncRNA,-1.0
NELFCD,lncRNA,-1.0
LINC00176,lncRNA,-1.0
U2AF1,lncRNA,-1.0
MAPK1,lncRNA,-1.0
TUG1,lncRNA,-1.0
CTA-217C2.1,lncRNA,-1.0
RAD18,lncRNA,-1.0
MRPS25,lncRNA,-1.0
UBP1,lncRNA,-1.0
SLC25A36,lncRNA,-1.0
PLSCR1,lncRNA,-1.0
NONHSAG036569,lncRNA,-1.0
CLDN11,lncRNA,-1.0
PIGG,lncRNA,-1.0
ADD1,lncRNA,-1.0
PDS5A,lncRNA,-1.0
GNPDA2,lncRNA,-1.0
REST,lncRNA,-1.0
FBXW7,lncRNA,-1.0
EXOC3,lncRNA,-1.0
SLC12A7,lncRNA,-1.0
C9,lncRNA,-1.0
TTC33,lncRNA,-1.0
CTC-281B15.1,lncRNA,-1.0
AP3S1,lncRNA,-1.0
SAP30L,lncRNA,-1.0
SLC2A3P1,lncRNA,-1.0
UIMC1,lncRNA,-1.0
XXbac-BPG181M17.6,lncRNA,-1.0
GTPBP2,lncRNA,-1.0
SNHG5,lncRNA,-1.0
NONHSAG045271,lncRNA,-1.0
EIF3B,lncRNA,-1.0
SNHG15,lncRNA,-1.0
POM121C,lncRNA,-1.0
PTPN12,lncRNA,-1.0
NONHSAG048332,lncRNA,-1.0
BCAP29,lncRNA,-1.0
NONHSAG048545,lncRNA,-1.0
AC058791.2,lncRNA,-1.0
NONHSAG048942,lncRNA,-1.0
NONHSAG049466,lncRNA,-1.0
RP11-557C18.3,lncRNA,-1.0
NSMCE2,lncRNA,-1.0
NONHSAG051659,lncRNA,-1.0
NONHSAG052056,lncRNA,-1.0
Ftx,lncRNA,-1.0
ANO7P1,lncRNA,-1.0
RP4-533D7.3,lncRNA,-1.0
NONHSAG002462,lncRNA,-1.0
NONHSAG003372,lncRNA,-1.0
NONHSAG003824,lncRNA,-1.0
NONHSAG003862,lncRNA,-1.0
NONHSAG004063,lncRNA,-1.0
RNF187,lncRNA,-1.0
PROSER2-AS1,lncRNA,-1.0
RP11-152N13.5,lncRNA,-1.0
SLC22A18,lncRNA,-1.0
PPFIBP2,lncRNA,-1.0
EIF4G2,lncRNA,-1.0
NONHSAG008515,lncRNA,-1.0
TMEM179B,lncRNA,-1.0
CHKA,lncRNA,-1.0
TMEM135,lncRNA,-1.0
RP11-685N10.1,lncRNA,-1.0
NONHSAG009769,lncRNA,-1.0
TMEM218,lncRNA,-1.0
NECAP1,lncRNA,-1.0
NONHSAG010565,lncRNA,-1.0
NONHSAG011559,lncRNA,-1.0
NEDD1,lncRNA,-1.0
NONHSAG012029,lncRNA,-1.0
SLC25A3,lncRNA,-1.0
PRKAB1,lncRNA,-1.0
SAP18,lncRNA,-1.0
TFDP1,lncRNA,-1.0
NOVA1-AS1,lncRNA,-1.0
HECTD1,lncRNA,-1.0
ARID4A,lncRNA,-1.0
CCDC175,lncRNA,-1.0
ATXN3,lncRNA,-1.0
RP11-365N19.2,lncRNA,-1.0
RP11-521B24.5,lncRNA,-1.0
NONHSAG017565,lncRNA,-1.0
WDR73,lncRNA,-1.0
CHD2,lncRNA,-1.0
MEF2A,lncRNA,-1.0
NONHSAG018206,lncRNA,-1.0
HAGHL,lncRNA,-1.0
CTD-2196E14.4,lncRNA,-1.0
KIF22,lncRNA,-1.0
NUDT21,lncRNA,-1.0
RP11-67A1.2,lncRNA,-1.0
ACSF3,lncRNA,-1.0
FANCA,lncRNA,-1.0
NONHSAG020383,lncRNA,-1.0
XAF1,lncRNA,-1.0
SAT2,lncRNA,-1.0
C17orf51,lncRNA,-1.0
RP11-20B24.4,lncRNA,-1.0
RPL23,lncRNA,-1.0
RP11-580I16.2,lncRNA,-1.0
UTP18,lncRNA,-1.0
BZRAP1-AS1,lncRNA,-1.0
CTD-2319I12.4,lncRNA,-1.0
NONHSAG022553,lncRNA,-1.0
NAT9,lncRNA,-1.0
NONHSAG022959,lncRNA,-1.0
DUS1L,lncRNA,-1.0
RP13-638C3.4,lncRNA,-1.0
LINC00667,lncRNA,-1.0
NONHSAG024349,lncRNA,-1.0
CTB-31O20.8,lncRNA,-1.0
OAZ1,lncRNA,-1.0
AC005786.7,lncRNA,-1.0
ZNF833P,lncRNA,-1.0
LINC00662,lncRNA,-1.0
GPI,lncRNA,-1.0
TIMM50,lncRNA,-1.0
NONHSAG025805,lncRNA,-1.0
